,,,,,,,,,,Recieved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Total Links,3545,,,,,3545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Total Costs,"$7,090",$0,$0,$0,$0,"$7,090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order No.,Campaign Name,BD,Keyword ,Target URL ,No. of Links for September 25,"Backlinks (URL)
For Vendor (Do Follow Spin Links)",DA,"Backlinks (URL)
For Vendor (Do Follow Spin Links)",DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA,Backlinks (URL),DA
1,Dior https://www.dior.com/en_sg/beauty (LVMH Renewal July 2025),Desiree Bin,male perfume,https://www.dior.com/en_sg/beauty/mens-fragrance,10,,,,,https://medium.com/@aaron78341_45282/how-to-wear-male-perfume-correctly-27c702e91050,98,https://georgemathew775.weebly.com/blog/tips-for-wearing-male-perfume,95,https://www.diigo.com/item/note/5ujm1/bory?k=d38c71fd228f0e0934b6febe32ed7025,92,https://cirandas.net/nick8899/things-to-know-about-conversation-rate-optimization/things-to-remember-when-applying-male-perfume,53,https://www.universalhunt.com/articles/a-beginners-guide-on-applying-male-perfume/135694,40,https://insadreams.wordpress.com/2025/10/10/simple-hacks-for-applying-male-perfume/,95,https://www.pearltrees.com/georgemathew7766/item752789786,85,https://information-hub2.blogspot.com/2025/10/how-do-you-wear-male-perfume.html,98,https://theunionherald.com/how-to-wear-male-perfume/,42,https://downloadorsave.com/wearing-male-perfume-the-right-way/,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Dior https://www.dior.com/en_sg/beauty (LVMH Renewal July 2025),Desiree Bin,face serum singapore,https://www.dior.com/en_sg/beauty/serums,10,,,,,https://weeklyminds.com/why-you-should-add-face-serum-to-your-routine/,55,https://www.tumblr.com/coolgeorge714/796928716249939968/electrical-contractor-clearwater-services-for?,90,https://newstodaygroup.com/should-you-use-face-serum/,57,https://penzu.com/public/b0eb4efc413c3650,77,https://blogfreely.net/markalina750/things-you-need-to-know-about-face-serum-747x,40,https://corpweekly.com/what-is-face-serum/,53,https://peopletimesnow.com/how-can-you-benefit-from-face-serum/,58,https://georgemathew.mystrikingly.com/blog/uncovering-thekey-benefits-of-face-serum,93,https://sites.google.com/view/faceserumsingapore/home,97,https://forbesherald.com/how-to-get-the-most-from-face-serum/,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Dior https://www.dior.com/en_sg/beauty (LVMH Renewal July 2025),Desiree Bin,lip liner makeup,https://www.dior.com/en_sg/beauty/makeup/lips/lip-liner,10,,,,,https://weeklysiliconvalley.com/power-of-lip-liner-pencils-what-you-should-know/,75,https://bcss8.com/how-to-use-a-lip-liner-pencil/,60,https://www.dailystrength.org/journals/do-you-need-a-lip-liner-pencil,80,https://journaltwist.com/reasons-to-use-a-lip-liner-pencil/,58,https://storifybuzz.com/benefits-of-using-a-lip-liner-pencil/,53,https://buzzpedia.org/how-to-get-the-most-from-your-lip-liner-pencil/,54,https://infophilly.com/getting-the-most-from-your-lip-liner-pencil/,42,https://readwriteblog.com/simple-hacks-for-using-a-lip-liner-pencil/,60,https://thehubpost.net/tips-for-using-a-lip-liner-pencil/,57,https://mediosindependientes.org/things-to-keep-in-mind-when-using-a-lip-liner-pencil/,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Dior https://www.dior.com/en_sg/beauty (LVMH Renewal July 2025),Desiree Bin,lip exfoliator,https://www.dior.com/en_sg/beauty/products/dior-addict-lip-sugar-scrub-Y0028880.html,10,,,,,https://www.linkedin.com/pulse/how-buy-lip-products-online-like-pros-ghanshyam-gour-f0gxc/,98,https://instavideodownload.online/how-to-shop-for-lip-products-online/,35,https://justpaste.it/4icot,94,https://13tka.com/simple-hacks-for-buying-lip-products-online/,43,https://getfoureyes.com/s/1Pd4K/,48,https://businessnyo.com/reasons-to-shop-for-lip-products-online/,60,https://digipressly.com/should-you-shop-for-lip-products-online/,54,https://ladailymagazine.com/surefire-hacks-for-buying-lip-products-online/,55,https://entrepreneurpost.net/a-beginners-guide-on-buying-lip-products-online/,57,https://ytvideodownload.net/2025/10/10/important-considerations-when-buying-lip-products-online/,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Dior https://www.dior.com/en_sg/beauty (LVMH Renewal July 2025),Desiree Bin,blush singapore,https://www.dior.com/en_sg/beauty/makeup/face/blushes-bronzers,10,,,,,https://voxweekly.com/what-you-need-to-know-before-using-blush/,56,https://dailylivereporter.com/how-to-use-blush/,58,https://anotepad.com/notes/yic38pnh,68,https://posteezy.com/important-considerations-using-blush,52,https://magazineherald.com/how-to-get-the-most-from-blush/,55,https://thehuffposts.com/getting-the-most-from-blush/,55,https://todaypost.us/tips-for-using-blush/,57,https://timeseditorial.com/using-blush-the-right-way/,58,https://justpublishingpost.com/how-do-you-use-blush-the-right-way/,60,https://corpweekly.com/your-guide-to-using-blush-the-right-way/,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Dior https://www.dior.com/en_sg/beauty (LVMH Renewal July 2025),Desiree Bin,glossy lipstick,https://www.dior.com/en_sg/beauty/products/dior-addict-Y0291000.html,10,,,,,https://factinfoist.com/things-to-consider-before-buying-lip-products/,40,https://www.dailystrength.org/journals/simple-hacks-for-buying-lip-products,80,https://themediapost.net/how-to-shop-for-lip-products/,60,https://vivohype.com/what-you-should-know-before-buying-lip-products/,53,https://postheaven.net/ddlskdx8e8,65,https://thelivejournal.com/a-beginners-guide-on-buying-lip-products/,60,https://www.universalhunt.com/articles/things-to-keep-in-mind-when-buying-lip-products/135695,40,https://theheralddaily.com/what-to-look-for-in-the-best-lip-products/,68,https://dailylivenews.net/finding-the-right-lip-products-for-you/,59,https://13tka.com/money-saving-tips-when-buying-lip-products/,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
