Category,Sub-category,Factor,Weightage,Why It Matters,How To Check,How To Improve
Content & Intent,Search Intent Match,Query Intent Classification,90,"Correctly identifying whether the query is informational, commercial, transactional, or local, so the page can be aligned to what users expect.",Review sample queries from GSC; inspect SERP for content types and CTAs; label each target keyword by intent.,Re-map each target keyword to an intent; ensure page types and templates match the dominant intent per SERP.
Content & Intent,Search Intent Match,Page Type Alignment,90,"Ensuring the format (blog post, category, product page, tool, comparison) matches what Google is ranking for the query.",Manually review top 10 results for each target keyword and categorise them by page type.,"If SERP is mostly product pages, build/optimise a product page instead of a blog; if mostly guides, create an in-depth guide. 

However, if there is an even mix of formats, focus on uniqueness."
Content & Intent,Topical Relevance & Coverage,Core Topic Coverage,90,"Ensuring the main topic is explained clearly and completely, addressing the core question or problem.",Compare your coverage of the main topic to the top 3–5 ranking pages; check if key concepts are missing.,"Rewrite or expand main sections to define the topic, give context, and provide clear answers or solutions."
Content & Intent,E-E-A-T Signals,Author Identity & Credentials,90,Showing who wrote the content and why they are qualified increases trust and can improve performance for sensitive topics.,"Check if key pages have author bylines, bios, and links to author profile pages.","Add detailed author bios, qualifications, and relevant experience; link to LinkedIn or professional profiles where appropriate."
Content & Intent,E-E-A-T Signals,First-Hand Experience Evidence,90,"Demonstrating real-world use (photos, screenshots, experiments, case studies) aligns with Google’s emphasis on 'experience'.","Audit content for unique images, screenshots, original data and case studies vs stock or generic content.","Add your own photos, test results, walkthroughs and client stories that show actual hands-on experience."
Content & Intent,Content Quality,Clarity & Readability,90,"Clear, easy-to-read content keeps users engaged and reduces confusion, improving engagement signals.",Use readability tools; review average time on page and scroll depth; perform manual skim tests.,"Shorten sentences, use headings and bullets, simplify wording; add summaries and key takeaways."
Content & Intent,Content Quality,Originality & Added Value,90,Content that merely rephrases other pages adds little value; original insights drive links and rankings.,"Compare your content to top-ranking pages; look for unique points, data, frameworks or visuals.","Add proprietary data, unique frameworks, expert commentary, local examples or tools that competitors lack."
Authority & Links,Domain Authority / Site-Level Trust,Referring Domain Quality & Relevance,90,"Links from reputable, topic-aligned sites carry far more weight than links from weak or unrelated sites.",Segment referring domains by authority and topical relevance using backlink tools.,"Target niche publications, partners and industry resources rather than generic or irrelevant sites."
Authority & Links,Page-Level Backlinks,Deep Link Quantity to Target URL,90,Number of external links pointing directly at the ranking page strongly influences that page’s authority.,Use backlink tools to list backlinks to specific URLs; compare vs competitors’ ranking URLs.,"Promote key pages via outreach, PR and content marketing to earn more deep links to those URLs."
Technical & Crawl,Indexation Status of Key URLs,"Accidental Noindex and Robot txt blocking
",90,Important pages accidentally set to noindex or blocked in robots will never rank.,"Use crawlers and GSC URL Inspection to detect noindex tags, disallow rules and blocked resources.
Use SEO crawler (e.g., Screaming Frog, Sitebulb, etc.) to identify URLs that are blocked by robots.txt.",Remove unintended noindex directives and adjust robots.txt rules for important sections.
Technical & Crawl,Indexation Status of Key URLs,Canonicalisation to Wrong URL,90,Pointing canonical tags away from the intended ranking URL can cause Google to ignore it.,"Check canonical tags on target URLs; review GSC 'duplicate, Google chose different canonical' reports.",Set self-referencing canonicals on primary URLs; remove conflicting or duplicate canonicals.
Content & Intent,Search Intent Match,Funnel Stage & CTA Alignment,75,"Matching calls-to-action (download, enquire, buy, read more) to the user's stage in the buying journey to reduce pogo-sticking.",Compare CTAs on ranking pages vs competitors; review user paths and bounce rates from key landing pages.,"Use softer CTAs (guides, calculators) for top-of-funnel and stronger CTAs (enquiry, quote) for bottom-of-funnel queries."
Content & Intent,Topical Relevance & Coverage,Subtopic & FAQ Coverage,75,"Covering related subtopics, FAQs and edge cases that users commonly ask around the main topic.","Mine People Also Ask, related searches and site search logs; map missing subtopics against competitors.","Add FAQ sections, subheadings and supporting content to answer common follow-up questions comprehensively."
Content & Intent,E-E-A-T Signals,Brand & Site Trust Signals,75,"Trust is reinforced by secure site, clear contact details, policies, and third-party trust signals.","Check for HTTPS, contact page, physical address, privacy/terms pages, social proof and third-party trust badges.","Ensure clear contact options, legal pages, and visible testimonials/awards; keep brand information consistent across web."
Content & Intent,E-E-A-T Signals,Citation & Source Quality,75,Linking to and referencing reputable sources signals research quality and helps establish authority.,Review outbound links and cited sources on key pages; assess their authority and relevance.,"Reference official documents, studies and recognised authorities; avoid linking to low-quality or spammy sources."
Content & Intent,Content Quality,Practical Usefulness,75,"Content should help users achieve something: make a decision, complete a task, or understand a concept.","Review content against user journeys; check event tracking for downloads, clicks and interactions.","Include step-by-step instructions, checklists, templates, calculators, and clear next-step guidance."
Content & Intent,On-Page Keyword Targeting,Primary Keyword Placement,75,"Using the main keyword naturally in title, H1, intro and URL helps search engines understand the page topic.","Scan title, H1, first paragraph, URL and key headings for presence of the main keyword.","Adjust title and headings to include the primary keyword in a natural, user-friendly way."
