Question,Answer,Tags,Relevant for SEO SaaS?
How do i get my seo.mm log in,"You would have recieved an email from MEDIAONE BUSINESS GROUP with the page URL, login credentials and instructions. If you have not received these please contact your Account Manager.",SEO Services,Yes
Can I request for a meeting to understand my campaign performance?,To be answererd ,SEO Quotation,Yes
"I dont know how to copywrite, can your SEO team help me to enrich my content?",Certainly. Our quote is $450/500 words. Please contact your friendly Account Manager to discuss how much work is required.,SEO Quotation,Yes
Can your team vet through my articles for me? ,Yes we can. We can also help you to edit so that its SEO-friendly. The charges are $150/500 words and turn-around time is 4-5 working days for up to 10 pages.,SEO Quotation,Yes
Is it necessary to do paid ads when I am doing SEO?,Many of our clients opt to start with paid ads because SEO takes weeks to months for meaningful ranking to take place. Please have a chat with your Account Manager to discuss our paid ad management service today.,SEO Quotation,Yes
What are the paid tools being used for the SEO?,"MediaOne uses a variety of paid tools like Ahrefs, Moz, Screaming Frog and a variety of proprietary tools to audit the different aspects of your website. There are also other proprietary tools which assist to help determine the difficulty of your keywords, and other competitive intelligence.",SEO Tools,Yes
Do I need to provide my website login details to your SEO team?,"Yes! As stated in the introduction email, we will require your CMS and cPanel (full admin login details) for on-page implementation and technical fixes. (3 Questions)",SEO Tools,Yes
What happens if I am not able to provide my website login details due to security clearance?,We can provide you with a detailed Optimisation Documentation (Opt Doc) instructing your web developer on the fixes and implementations that needs to be done.,SEO Tools,Yes
Is the dashboard showing real time results? how come the dashboard rankings do not tally when I search on Google?,"The online SEO Dashboard will be updated every 24 hours. Therefore, there might be a very slight differences from the Google Live result. The result accuracy is about 95%. ",SEO Tools,Yes
What is done on a regular basis beside backlinks?,As Google has 2-4 major algorithm updates per year and about 6-8 minor ones per day; we run audits on your website quarterly or when there is a red flag for things such as server downtime or issues causing significant rank drops.,SEO Services,Yes
"How indepth is your technical audit, does it go into server logs?","If you are a MediaOne client we shall be able to access your Google Search Console to determine issues affecting SEO. We only dig deeper if we are investigating a ""probable cause"" such as server logs if we suspect your server is acting up.",SEO Services,Yes
"If I want to do minor changes on the website, can your SEO team help?","Unless you have a maintenance package with MediaOne, we do not provide these services; you are advised to contact your web design/developer directly.",SEO Services,Yes
Is SEO maintenance necessary? ,"Yes! In order to maintain the current keyword performance, we will strongly suggest to sign up for our SEO maintenance package",SEO Services,Yes
"My objective is to reach as many keywords on page 1, are the current keywords good enough?",We will do a keyword research for you to discover the keyword opportunities you are missing out on. We can also look at your competitors' keywords and see which ones you're not ranking for.,SEO Services,Yes
Can your SEO team help to reduce the server response time of my website? ,We will be unable to improve your server response time because this is limited by the hosting package you had signed up with. MediaOne normally optimises your website in order to speed up the page download. We do encourage you to upgrade your hosting packages for better/faster server performance and assist you in the recommendations. We can also help you to set up a Content Delivery Network (CDN) which can improve your page speed by 20%.,SEO Services,Yes
What kind of backend works do your team do to my website? ,"Our backend fixes include: minifying codes and images, compressing files for server download, crawlability improvement, internal link cleaning and sculpting, backlink profile optimisation, content and meta data optimisation",SEO Services,Yes
Will your team help to remove the duplicated pages on my website? ,"Yes. MediaOne can identify where the duplicated content are located, assess if its significant enough to be removed/rewritten or merged in order to optimise the SEO of your website.",SEO Services,Yes
Can your team help to remove the unused Cascading Style Sheets (CSS) on my website? ,Yes if we are of the opinion that it can significantly improve the page speed. Often it is not necessary.,SEO Services,Yes
